Issue,Summary,DateX,Time,Description
NP03ANZW75-11142,Refresh cache on creating or updating data/rule,09/04/19,8,
NP03ANZW75-10541,Enable caching for Business Data,10/04/19,8,
NP03ANZW75-10541,Enable caching for Business Data,11/04/19,8,"gracefully handled the auth error.
made changes on cache ms to allow calls from other ms that miss auth headers.
deployed cache ms and rule engine till pre-prod.
prepared Prod images."
NP03ANZW75-10961,Modify Existing Methods to log API calls,16/04/19,8,"redeployed for show n tell.
merged 2 times with development and ran pipeline 4 times."
NP03ANZW75-12862,Create route in Kanban service for generic approval workflow process,17/04/19,8,
NP03ANZW75-12861,Change route in RuleEngine service for to support complex busniess rule,18/04/19,8,
NP03ANZW75-12861,Change route in RuleEngine service for to support complex busniess rule,22/04/19,8,
NP03ANZW75-12862,Create route in Kanban service for generic approval workflow process,24/04/19,8,
NP03ANZW75-12862,Create route in Kanban service for generic approval workflow process,25/04/19,8,
NP03ANZW75-10541,Enable caching for Business Data,26/04/19,4,"created frontend deployment, failed due to code error in pipeline."
NP03ANZW75-12861,Change route in RuleEngine service for to support complex busniess rule,26/04/19,4,
NP03ANZW75-9607,Kafka Service Capability,27/04/19,8,"kafka prod issue, created new image."
NP03ANZW75-12862,Create route in Kanban service for generic approval workflow process,29/04/19,8,
NP03ANZW75-12862,Create route in Kanban service for generic approval workflow process,30/04/19,8,
NP03ANZW75-14380,Create new collection in RBAC to maintain categories,02/05/19,8,"set up project, created deployment, created category collection."
NP03ANZW75-14381,Create new UI components to manage category CRUD operations,02/05/19,8,"set up project, created deployment. not able to check screen due to rbac issue."
NP03ANZW75-15195,Kafka microservice not calling logger,03/05/19,1,checking issues from logs.
NP03ANZW75-14374,Create route in RBAC to create new category,03/05/19,8,save new category.
NP03ANZW75-14381,Create new UI components to manage category CRUD operations,03/05/19,8,creating define access screens.
NP03ANZW75-15195,Kafka microservice not calling logger,05/05/19,7,troubleshooting workflow.
NP03ANZW75-14381,Create new UI components to manage category CRUD operations,06/05/19,8,creating define access inner screens.
NP03ANZW75-14380,Create new collection in RBAC to maintain categories,06/05/19,4,completed collection creation and route.
NP03ANZW75-14373,Create new GET routes in RBAC to get category entities,06/05/19,4,creating get APIs.
NP03ANZW75-14381,Create new UI components to manage category CRUD operations,07/05/19,8,"completed lay-outing, starting api integration."
NP03ANZW75-14373,Create new GET routes in RBAC to get category entities,07/05/19,8,
NP03ANZW75-14381,Create new UI components to manage category CRUD operations,08/05/19,8,working on creation screens.
NP03ANZW75-14373,Create new GET routes in RBAC to get category entities,08/05/19,4,completed.
NP03ANZW75-14375,Create route in RBAC to modify category profile,08/05/19,4,add to user category profile
NP03ANZW75-14378,Change route in all microservices for API authorization,08/05/19,8,"created release files, pending deployment."
NP03ANZW75-14376,Create route in RBAC to remove all category accesses from user profile,09/05/19,8,
NP03ANZW75-14378,Change route in all microservices for API authorization,09/05/19,6,"Deployed all ms, deploying throws errors due to high memory usage in shared cluster.
Finally cluster went down / not responding.
Different file naming convention from development:
Renamed cache, tfs, infra and rmg files and redeployed.
Fixed password missing in Jenkins happened due to re-specifying of empty password field in json."
NP03ANZW75-14381,Create new UI components to manage category CRUD operations,09/05/19,8,Working on new directive.
NP03ANZW75-14375,Create route in RBAC to modify category profile,10/05/19,4,completed.
NP03ANZW75-14382,Create new UI component to manage user's category profile,10/05/19,8,
NP03ANZW75-14377,Create route in RBAC for API authentication,10/05/19,4,
NP03ANZW75-14382,Create new UI component to manage user's category profile,11/05/19,8,
NP03ANZW75-14382,Create new UI component to manage user's category profile,12/05/19,8,
NP03ANZW75-14377,Create route in RBAC for API authentication,13/05/19,8,looking into 400 issue.
NP03ANZW75-14382,Create new UI component to manage user's category profile,13/05/19,8,
NP03ANZW75-14379,Change login route in RBAC to return category access in login session profile,13/05/19,4,
NP03ANZW75-14387,Testing of NP03ANZW75-10743,13/05/19,1,Tested 10739
NP03ANZW75-14394,Show and tell for story NP03ANZW75-9664,14/05/19,1,
NP03ANZW75-14377,Create route in RBAC for API authentication,14/05/19,4,
NP03ANZW75-14393,Show and tell for story NP03ANZW75-9663,14/05/19,1,
NP03ANZW75-14379,Change login route in RBAC to return category access in login session profile,14/05/19,8,
NP03ANZW75-14377,Create route in RBAC for API authentication,15/05/19,5,"get category result change
user factory console changes
session time validation added
logs added
category update change
endurl hashed
header printed
username change header
factory function changes"
NP03ANZW75-17179,Authentication of user and assign access to the user based on defined project roles,15/05/19,2,
NP03ANZW75-17179,Authentication of user and assign access to the user based on defined project roles,16/05/19,8,
NP03ANZW75-15761,RBAC as Service- Non Admin Users are also able to add & assign access to users,16/05/19,3,
NP03ANZW75-15762,RBAC as Service- Only the list of NAD Admins are shown while adding user & assigning access,16/05/19,1,
NP03ANZW75-15790,RBAC as Service- Access for the category is not removed when that category gets deleted,16/05/19,2,
NP03ANZW75-15786,RBAC as Service- 'Define Access' breadcrumb is not working properly,16/05/19,1,
NP03ANZW75-14377,Create route in RBAC for API authentication,17/05/19,8,"Issue fixing
unit testing `/api/auth`
took much time due to unavailability of kibana logs
handed over to infra seeing errors from LDAP client."
NP03ANZW75-17179,Authentication of user and assign access to the user based on defined project roles,20/05/19,8,
NP03ANZW75-17420,Redeploying POC related Microservices.,21/05/19,1,"checking deployments, redeployed due to deletion of deployments.
debugging issues occurred from merging."
NP03ANZW75-17179,Authentication of user and assign access to the user based on defined project roles,21/05/19,6,
NP03ANZW75-17188,Show and Tell for NP03ANZW75-17320,21/05/19,1,
NP03ANZW75-17420,Redeploying POC related Microservices.,22/05/19,8,"resolved issues in ruleEngine and redeployed
merged kanban with development
since ruleEngine was giving 503 after half an hour, redeployed it.
Added rule_templates to Mongo.
Reverted Dockerfile and redeployed kanban ms.
RuleEngine got deployed after new changes made in development branch.
Conflicts to be removed."
NP03ANZW75-17484,Redeploying webapp logger branch.(NP03ANZW75-10961),23/05/19,1,"Trying to redeploy webapp logging, conflicts to be resolved."
NP03ANZW75-17420,Redeploying POC related Microservices.,23/05/19,7,"Debugging kanban flow.
Created config data in ruleEngine.
Verified complete workflow with team."
NP03ANZW75-17484,Redeploying webapp logger branch.(NP03ANZW75-10961),24/05/19,4,"Conflicts resolution stuck at cass service file. Not able to pick up the changes manually.
"
NP03ANZW75-14375,Create route in RBAC to modify category profile,24/05/19,4,handling newly tested criteria which was not in prototype screens - NP03ANZW75-17337
